query,expected_answer
What is the plot of Little Miss Sunshine?,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
What is the plot of Home Alone?,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
Summarize the plot of Repulsion for me.,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
What is Anand about?,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
What happens in Children of Men?,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
What is Gandhi about?,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
Explain the story behind Anand.,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
What happens in 21 Grams?,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
What is the plot of Stalker?,A guide leads two men through an area known as the Zone to find a room that grants wishes.
What is the plot of Repulsion?,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
Summarize the plot of Trois couleurs: Bleu for me.,A woman struggles to find a way to live her life after the death of her husband and child.
What happens in El cuerpo?,A detective searches for the body of a femme fatale which has gone missing from a morgue.
What happens in Primal Fear?,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
What is Stalker about?,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Give me a summary of El cuerpo.,A detective searches for the body of a femme fatale which has gone missing from a morgue.
Give me a summary of The Sandlot.,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Summarize the plot of Toki o kakeru shôjo for me.,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Give me a summary of Wreck-It Ralph.,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Give me a summary of Gifted.,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
Summarize the plot of Home Alone for me.,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
Explain the story behind Repulsion.,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
What is the plot of The Sandlot?,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
Can you tell me the story of Gifted?,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
What is Children of Men about?,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
Can you tell me the story of Spartacus?,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
What is Home Alone about?,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
What is Gone Girl about?,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
Give me a summary of Bom Yeoareum Gaeul Gyeoul Geurigo Bom.,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
What is the plot of Captain America: The Winter Soldier?,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Give me a summary of Anand.,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
Summarize the plot of Captain America: The Winter Soldier for me.,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
Can you tell me the story of Primal Fear?,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
What is the plot of Toki o kakeru shôjo?,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
Explain the story behind Primal Fear.,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Tell me the storyline of Network.,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
